name,img
BMW M8,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220127_186%2Fauto_1643246489656oTBWc_PNG%2F20220127102119_1XpGlaP6.png
랜드로버 레인지로버 스포츠,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220919_177%2Fauto_1663558679988SCmlM_PNG%2F20220919123748_sD8Mo6mL.png
현대 투싼,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220713_146%2Fauto_1657679193245LyEdT_PNG%2F20220713112626_fqGe3rxX.png
포르쉐 911 카레라,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200225_297%2Fauto_15825964252154cXza_PNG%2F20200225110655_4a3g6s7n.png
KG 모빌리티 렉스턴 스포츠,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230515_116%2Fauto_1684115943112Vac2A_PNG%2F20230515105854_5jr0QUW2.png
제네시스 G90,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230324_59%2Fauto_1679619333537MQYu1_PNG%2F20230324095527_klZpxNGb.png
미니 해치백 SE,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230517_93%2Fauto_1684286082154tT4xK_PNG%2F20230517101432_aUOrRnpU.png
BMW 4시리즈,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230706_73%2Fauto_1688617501924wAnb2_PNG%2F20230706132447_WYwi9rLx.png
푸조 5008,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230106_169%2Fauto_1672980716367HKqQv_PNG%2F20230106135145_aPXEKCUi.png
BMW X3 M,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20221122_238%2Fauto_1669100961199ntYes_PNG%2F20221122160913_2hlYLfvF.png
메르세데스-벤츠 AMG SL클래스,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230516_182%2Fauto_1684209286110jkgib_PNG%2F20230516125432_Bvf754GO.png
미니 컨트리맨,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230613_63%2Fauto_1686640892159tDu59_PNG%2F20230613162121_HPlYkwao.png
토요타 프리우스,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200310_87%2Fauto_1583806177755YYMms_PNG%2F20200310110924_xW5yO7up.png
링컨 노틸러스,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20211101_84%2Fauto_1635737531178rIwkQ_PNG%2F20211101123157_DFfIy4aL.png
기아 EV9,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230315_288%2Fauto_1678843054845xlI7s_PNG%2F20230315101638_iN9HGdSo.png
토요타 크라운 크로스오버 하이브리드,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230605_179%2Fauto_1685929099751FNq3R_PNG%2F20230605103809_eiRPs2ym.png
BMW M3,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20221122_56%2Fauto_166909914346080oIR_PNG%2F20221122153853_DckrtALZ.png
볼보 S60,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220926_256%2Fauto_1664182341594Ubk0E_PNG%2F20220926175214_x0oWxaNe.png
기아 K3,https://search.pstatic.net/common?quality=75&direct=true&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20220905_66%2Fauto_1662343137595foQ1N_PNG%2F20220905105852_uSB4wra0.png
토요타 라브4 플러그인 하이브리드,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230221_121%2Fauto_1676945006699qKcJ4_PNG%2F20230221110318_QSSJwkTo.png
토요타 프리우스 프라임,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20200909_40%2Fauto_15996123876051VTne_PNG%2F20200909094614_BmKbsSGD.png
벤틀리 벤테이가,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20230302_2%2Fauto_1677745673206QhxU2_PNG%2F20230302172751_NJ2ufai2.png
렉서스 NX 플러그인 하이브리드,https://search.pstatic.net/common?type=b&size=600&quality=75&direct=true&ttype=input&src=https%3A%2F%2Fimgauto-phinf.pstatic.net%2F20210614_294%2Fauto_16236566491052M2J3_PNG%2F20210614164355_aTw15Bsj.png
