name,driving,price,habitability,quality,design,fuel_economy
폭스바겐 파사트 GT,9.5,9.2,9,9,9.3,9.7
아우디 R8,9.6,6.6,5,8.1,9.7,4.3
현대 코나 하이브리드,9.1,5.8,9,9.3,9.6,9.5
미니 컨버터블 S,9.5,7.9,7,8.3,9.8,8
아우디 Q8,9.5,9.1,9.6,9.4,9.8,8.9
메르세데스-벤츠 AMG GLA클래스,9.6,7.9,8.7,9.5,9.7,8.3
메르세데스-벤츠 E클래스 플러그인 하이브리드,9.4,8.1,8.8,9,9.5,8.5
포르쉐 911 터보 카브리올레,9.8,8.3,8.2,9.1,9.7,8.3
BMW 4시리즈 그란쿠페,9.7,8.9,8.8,9.7,9.8,8.6
BMW 2시리즈,9.6,8.9,7.8,9.2,9.4,8.7
메르세데스-벤츠 A클래스,9.3,8.5,8.4,8.7,9.4,8.4
포드 브롱코 4도어,9.7,9.2,8.7,9.1,10,6.4
포드 머스탱 컨버터블,9.4,9.3,7.7,7.8,9.9,6.5
시트로엥 그랜드 C4 스페이스 투어러,9.2,9.1,9.6,8.8,9.5,9.7
푸조 5008,9.3,8.9,9.1,8.8,9.7,9.7
포르쉐 파나메라,9.8,8.3,9.3,9.6,9.9,8.1
아우디 S5,9.8,8,8.2,8.8,9.7,8
현대 아반떼,9.2,7.4,9.4,9.3,9.7,9.6
테슬라 모델3,9.9,8.8,8.6,7.7,9.4,9.3
BMW 5시리즈,9.8,8.9,8.8,9.4,9.5,8.9
BMW 4시리즈 컨버터블,9.7,8.9,8.8,9.7,9.8,8.6
링컨 코세어,9.7,9.7,9.7,8.8,9.7,7.6
아우디 A7 플러그인 하이브리드,9.6,8.9,8.8,8.8,9.9,8.4
캐딜락 CT5-V,10,10,10,10,10,7
메르세데스-벤츠 E클래스 카브리올레,9.4,8.1,8.8,9,9.5,8.5
미니 클럽맨,9.4,7.9,7.8,8.5,9.8,8
벤틀리 컨티넨탈 GT,10,8.5,8.5,9,10,10
아우디 RS e-트론 GT,10,8,8,9,10,7
미니 해치백 5도어,9.5,7.7,7.1,8.4,9.8,8.2
페라리 812 슈퍼패스트,8,4,8,8,8,2
테슬라 모델Y,9.8,8.5,9.5,8.3,9.4,9.4
포르쉐 911 터보,9.8,8.3,8.2,9.1,9.7,8.3
기아 셀토스,9.2,7.9,9,8.9,9.7,7.6
푸조 e-2008,9.7,8.9,8.9,9.1,9.8,7.4
현대 팰리세이드,9.5,8.5,9.5,9.3,9.5,7.2
BMW iX1,9.7,9,8.3,8.3,9.8,8.3
아우디 SQ5,9.7,8.8,9.3,9.6,9.8,6.9
아우디 e-트론 S 스포트백,10,8,10,10,10,6
BMW X4 M,9.9,8.8,7.9,9.7,9.8,5.1
아우디 A5 카브리올레,9.6,8.5,7.9,9.2,9.9,7.6
제네시스 GV80,9.2,7.7,9.3,8.9,9.6,6.6
토요타 라브4 하이브리드,9.5,9,9.3,9.5,9,9.6
마세라티 르반떼,9.7,7.8,8.5,9.1,9.8,6.1
제네시스 G70 슈팅브레이크,9.6,7.8,7.7,9.1,9.4,6.1
쉐보레 트레일블레이저,9.4,8,8.8,9,9.7,8.1
아우디 Q3 스포트백,9,8.5,9,9.2,9.8,9.5
기아 니로 EV,9.7,8.3,9.1,8.9,9.1,8.9
BMW 1시리즈,9.6,8.7,8.4,9.2,9.4,8.7
렉서스 UX F 스포츠 하이브리드,9.7,8.2,8.6,9.8,9.8,9.8
