name,driving,price,habitability,quality,design,fuel_economy
현대 코나 하이브리드,9.1,5.8,9,9.3,9.6,9.5
현대 아반떼,9.2,7.4,9.4,9.3,9.7,9.6
기아 셀토스,9.2,7.9,9,8.9,9.7,7.6
현대 팰리세이드,9.5,8.5,9.5,9.3,9.5,7.2
제네시스 GV80,9.2,7.7,9.3,8.9,9.6,6.6
제네시스 G70 슈팅브레이크,9.6,7.8,7.7,9.1,9.4,6.1
쉐보레 트레일블레이저,9.4,8,8.8,9,9.7,8.1
기아 니로 EV,9.7,8.3,9.1,8.9,9.1,8.9
제네시스 GV60,9.9,8,9.6,9.7,9.6,9.4
르노코리아 QM6,9.1,8.9,9,8.9,9.4,8.6
현대 코나,9.6,7.5,9.5,9.1,9.6,9.1
쉐보레 트랙스 크로스오버,9.6,9.5,9.5,8.8,9.9,8.6
기아 K3,9.3,8.8,8.9,9,9.6,8.8
기아 봉고3 EV,9,7.7,7.6,8.2,8,5
현대 아이오닉 6,9.7,7.7,9,9,8.8,9.3
기아 카니발 하이리무진,9.2,8.4,9.2,8.6,9.3,7.7
기아 EV9,10,7.5,9.5,9.5,9.5,10
현대 그랜저,9.4,7.5,9.5,8.8,9.5,8.4
제네시스 G80,9.4,8,9.3,9,9.7,7.2
기아 K8 하이브리드,9.6,8.6,9.6,9.3,9.4,9.5
제네시스 G90,9.8,8.5,9.8,9.3,9.2,8.5
제네시스 G90 LWB,9.8,8.5,9.8,9.3,9.2,8.5
현대 스타리아,8.8,7.5,8.7,8.2,8.8,7
현대 스타리아 캠퍼,8.8,7.5,8.7,8.2,8.8,7
기아 K9,9.7,9.3,9.5,9.4,9.1,6.7
현대 아반떼 하이브리드,9.8,9.7,9.8,10,10,9.7
현대 캐스퍼,9,7.1,8.6,8.4,9.6,7.5
기아 EV6 GT,9.7,7.9,8.9,8.9,9.6,8.5
현대 포터2,8.2,7.6,7.2,7.5,7.4,6.6
현대 포레스트,8.2,7.6,7.2,7.5,7.4,6.6
제네시스 일렉트리파이드 GV70,9.9,7.6,9.4,9.7,9.8,8.7
쉐보레 볼트 EUV,9.7,9.2,9.1,9,9.6,9.4
기아 쏘렌토 하이브리드,9.2,7.9,9.4,8.8,9.5,9
현대 싼타페,9.3,8.3,9.1,8.7,8.6,7.5
쉐보레 볼트 EV,9.7,9.6,9.4,9.4,9.3,9.7
기아 K5,9,8.1,8.8,8.4,9.7,7.8
기아 레이,8.1,8.1,9.4,8.9,9.6,8.3
KG 모빌리티 코란도,8.9,9.2,8.8,8.5,8.8,7.4
쉐보레 트래버스,9.8,8.4,9.6,8.9,9.7,7.5
쉐보레 이쿼녹스,9.6,7.6,9.8,9.1,9.6,8.3
쉐보레 타호,9.4,8.5,9.4,8.3,9.2,7.1
기아 카니발,9.2,8.4,9.2,8.6,9.3,7.7
르노코리아 SM6,9.4,8.5,8.9,8.9,9.6,8.5
현대 그랜저 하이브리드,9.3,6.9,9.4,8.3,9.1,9.1
기아 스포티지 하이브리드,9.5,6.9,9.2,8.9,9.5,9.1
기아 봉고3,8.1,7.6,7.1,7.3,7.5,5.9
르노코리아 XM3,8.9,9.1,8.1,8.3,9.6,8.6
현대 코나 일렉트릭,10,10,10,10,10,10
기아 EV6,9.7,7.9,8.9,8.9,9.6,8.5
기아 K3 GT,9.3,8.8,8.9,9,9.6,8.8
현대 투싼 하이브리드,9.4,7.6,9.2,8.8,9.5,9.1
기아 쏘렌토,9.3,8.1,9.2,8.3,9.5,7.9
기아 스포티지,8.9,7.6,9.2,8.8,9.6,7.9
기아 니로 플러스,9.6,9.2,9,9.3,8.3,9.7
제네시스 일렉트리파이드 G80,9.9,7.7,8.8,9.7,9.8,9.4
기아 K5 하이브리드,9.2,7.9,8.9,8.7,9.7,9.5
현대 아이오닉 5,9.7,8.2,9.5,9,9.4,8.8
현대 스타리아 리무진,8.8,7.5,8.7,8.2,8.8,7
르노코리아 XM3 E-TECH 하이브리드,9,6.6,7.7,9,9.5,9
KG 모빌리티 렉스턴 스포츠,8.7,8.5,8,8.5,9.4,7.3
현대 베뉴,9.1,9.1,8.6,8.6,9.4,8.9
현대 쏘나타 하이브리드,9.3,6.3,9,9,9.7,8.3
현대 포터2 일렉트릭,9.1,8,7.8,8.2,7.7,5.6
현대 쏘나타,8,8,7,8,9,7
기아 K8,9.3,8.7,9.4,9,9.4,7.9
현대 싼타페 하이브리드,9.5,8.4,9.4,9.2,8.8,9.3
제네시스 G70,9.6,7.8,7.7,9.1,9.4,6.1
제네시스 GV70,9.5,7.8,9.1,9.2,9.8,6.1
기아 모하비,9.3,8.1,9,9,9.5,6.6
KG 모빌리티 렉스턴 스포츠 칸,8.9,8.6,8.3,8.5,9.4,7.2
현대 투싼,8.8,8.1,9.1,8.6,9.6,7.9
현대 넥쏘,9.6,8.8,8.9,8.8,9.1,9.3
기아 모닝,8.2,7.8,8.2,8.4,9,8.2
KG 모빌리티 렉스턴,9.2,9,9.3,9.1,9.7,8.4
쉐보레 콜로라도,9.5,8.7,7.7,7.9,9.6,5.7
KG 모빌리티 티볼리,8.8,9,8.7,8.4,9.2,7.6
르노 마스터,0,0,0,0,0,0
KG 모빌리티 티볼리 에어,9,9.5,8.9,8.8,9.1,7.8
기아 니로 하이브리드,8.8,8.7,8.6,8.9,7.8,9.7
KG 모빌리티 토레스,9.2,9.5,9.5,8.5,9.8,7.3
KG 모빌리티 코란도 이모션,0,0,0,0,0,0
